sku,nom,marque,prix,note,lien,image,category
2b13ea18-8ede-4ae1-97e1-73d2e4903db4,"Chaussures de Running Femme, Jogflow 100.1 Noir",KALENJI,"199,00 MAD",4270.0,https://www.decathlon.ma/p/337743-99365-chaussures-de-running-femme-jogflow-1001-noir.html,https://contents.mediadecathlon.com/p2393967/1cr1/k$7d033ec48ede1fa997382e02858dd5b0/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
e757f726-904e-4da8-8a39-ca838a0e5005,CHAUSSURES FEMME EKIDEN ONE OLIVE,DECATHLON,"149,00 MAD",3398.0,https://www.decathlon.ma/p/9711-72471-chaussures-femme-ekiden-one-olive.html,https://contents.mediadecathlon.com/p2183981/1cr1/k$667e038eb4ced2d0d84d7c6008b8f778/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
ce234a57-2d65-4e1e-9ba1-e2d6be684ae2,"Chaussures de Running Femme, Jogflow 190.1 Rose",KIPRUN,"299,00 MAD",3023.0,https://www.decathlon.ma/p/339950-115167-chaussures-de-running-femme-jogflow-1901-rose.html,https://contents.mediadecathlon.com/p2639170/1cr1/k$8851bd11fddef8cc90f6604fd9c80f77/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
b318c4ba-b26f-4b72-a4da-ea8b85bd0597,CHAUSSETTES DE TENNIS HAUTES RS 500 BLANC LOT DE 3,DECATHLON,"99,00 MAD",16136.0,https://www.decathlon.ma/p/2451-108511-chaussettes-de-tennis-hautes-rs-500-blanc-lot-de-3.html,https://contents.mediadecathlon.com/p2804811/1cr1/k$fbcfe5aa5f3d1b72606abff9cce89e47/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
8648f652-16b2-4598-82a9-e32fa97f1984,CHAUSSETTES DE TENNIS HAUTES RS 500 GRIS LOT DE 3,DECATHLON,"99,00 MAD",16136.0,https://www.decathlon.ma/p/2451-107717-chaussettes-de-tennis-hautes-rs-500-gris-lot-de-3.html,https://contents.mediadecathlon.com/p2804823/1cr1/k$a8c810846bc223e65e622730e3c0a6b8/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
2555c68a-07a7-4b70-9482-abfe2a375971,"Chaussures de randonnée femme, NH50  noir",QUECHUA,"199,00 MAD",1677.0,https://www.decathlon.ma/p/308248-129577-chaussures-de-randonnee-femme-nh50-noir.html,https://contents.mediadecathlon.com/p2617654/1cr1/k$2979dae5280e35c87494dfbecf3ee239/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
2d4caaca-ca66-495f-8680-8844ae681087,CHAUSSETTES DE SPORT MI-HAUTES RS 160 NOIRES LOT DE 3.,DECATHLON,"69,00 MAD",18418.0,https://www.decathlon.ma/p/300235-108505-chaussettes-de-sport-mi-hautes-rs-160-noires-lot-de-3.html,https://contents.mediadecathlon.com/p2945952/1cr1/k$40c5a6c734d4101061c04e234a5c26e2/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
8f0829b5-004b-4821-bf69-41e97117e35b,CHAUSSETTES DE SPORT MI-HAUTES RS 500 BLANC LOT DE 3,DECATHLON,"99,00 MAD",11867.0,https://www.decathlon.ma/p/2392-22488-chaussettes-de-sport-mi-hautes-rs-500-blanc-lot-de-3.html,https://contents.mediadecathlon.com/p2804871/1cr1/k$c1612cacdea0f30d142d63ee781b7595/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
2e8563cc-bce9-4581-80b8-2c5ce15c8de1,CHAUSSETTES DE SPORT MI-HAUTES RS 160 BLANCHES LOT DE 3.,DECATHLON,"69,00 MAD",18418.0,https://www.decathlon.ma/p/300235-24016-chaussettes-de-sport-mi-hautes-rs-160-blanches-lot-de-3.html,https://contents.mediadecathlon.com/p2945945/1cr1/k$023874c829809fa66873a50f3b665ac4/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
65ebebd2-a79b-43ba-a503-e6aad5ab1455,Chaussettes de football VIRALTO CLUB noir,KIPSTA,"69,00 MAD",3088.0,https://www.decathlon.ma/p/303496-29941-chaussettes-de-football-viralto-club-noir.html,https://contents.mediadecathlon.com/p2970233/1cr1/k$8be5a1688c569ae9aab56e2e0262683b/prod.jpg?format=auto&f=1024x0,decathlon_chaussures_femmes
6590f66e-2374-4b42-824a-e4367b025b81,Roller fitness enfant FIT3 JR Abyss Grey,OXELO,"549,00 MAD",7674.0,https://www.decathlon.ma/p/157932-72533-roller-fitness-enfant-fit3-jr-abyss-grey.html,https://contents.mediadecathlon.com/p2606817/1cr1/k$9811f56209810ad1b5717c9d4582b627/prod.jpg?format=auto&f=1024x0,exterieur
